Name,Address,Latitude,Longitude,Type
ABB-nin Bərdə filialı,"Bərdə,Üzeyir Hacıbəyov  küç, (ABB-nin Bərdə filialı)",40.373889,47.122778,atm
Bazarstore Market (Bərdə),"Bərdə, Bakı küç., 2A (""Bazarstore"" market)",40.376111,47.134444,atm
ABB-nin Biləsuvar filialı,"Biləsuvar, Biləsuvar , H.Əliyev prospekti 45 (ABB-nin  Biləsuvar filialı)",39.455388,48.545808,atm
Z.Bünyadov prospekti (Yerüstü keçid),"Bakı, Binəqədi rayonu, Z.Bünyadov prospekti 11 (Yerüstü keçid)",40.412184,49.840771,atm
Araz Market (Binəqədi),"Bakı, Binəqədi rayonu, 2-ci mədən (""Araz"" market)",40.472185,49.834165,atm
Grandmart market (Novxanı),"Bakı ş. Binəqədi r-nu, Novxanı qəs. (Grandmart market)",40.540970,49.783317,atm
Oba market (Rəsulzadə qəsəbəsi),"Bakı, Binəqədi, M.Ə.Rəsulzadə qəsəbəsi, Azadlıq pr. (Oba market - Binəqədi 19)",40.431985,49.842676,atm
A-Plus Store (Sulutəpə),"Binəqədi r., Sulutəpə qəs., Ruslan Allahverdiyev ev. 1 döngə 7",40.431699,49.769746,atm
Baksol Metak şirkəti,"Bakı, Binəqədi r-nu, Baksol yolu (Metak şirkəti)",40.432354,49.866710,atm
Oba market (S.Bəhlulzadə),"Bakı, Binəqədi rayonu, Səttar Bəhlulzadə (Oba 509 saylı)",40.413224,49.838148,atm
Rahat Market (Binəqədi),"Bakı, Binəqədi rayonu, 8 mk-r, S.S.Axundov küçəsi, 3G (Rahat market)",40.425752,49.843798,atm
Soliton (Qəsəbə mərkəzi),"Bakı, Binəqədi rayonu, M.Ə.Rəsulzadə qəsəbəsi, Azadlıq 12 (Qəsəbə mərkəzi)",40.43903980390977,49.84441356492325,atm
Oba Market (Binəqədi),"Binəqədi rayonu, S.Məmmədov küç",40.425150,49.826468,atm
Elmar Market (Binəqədi),"Bakı ş., Binəqədi r., Biləcəri,  Yəhya Hüseynov küç., (""Elmar"" market)",40.432162,49.804411,atm
Favorit Market (Binəqədi),"Bakı, Binəqədi rayonu, Binəqədi qəsəbəsi, Ramazanov küçəsi, 1 (""Favorit"" market)",40.46598610774985,49.82946053568206,atm
Rahat Market (Mehdiabad),"Binəqədi r., Mehdiabad 28 May küç.",40.495252,49.855148,atm
Araz market (Biləcəri qəsəbəsi),"Bakı, Binəqədi rayonu, Biləcəri qəsəbəsi, A.Zeynallı küçəsi 24",40.437115,49.801995,atm
Oba market (Müşviqabad),"Bakı, Binəqədi rayonu, Müşviqabad qəsəbəsi (Oba market)",40.46761502581352,49.622689251742344,atm
