Name,lat,lon,Category,Address,Working Hours,Phone
Araz NZS Minimarket,40.386482,49.906094,Mini,"Xətai rayonu, Rəşid Bağırov küçəsi 25",07:30 - 23:00,055-515-85-49
Araz Əhmədli-2 Minimarket,40.385040,49.954525,Mini,"Xətai rayonu,  Məhəmməd Hadi küçəsi 41",24\7,055-515-85-50
Araz Saray-1 Superstore,40.524120,49.687569,Superstore,"Abşeron rayonu, Saray qəsəbəsi",24\7,055-515-85-52
Araz Xətai-1 Minimarket,40.388191,49.871136,Mini,"Xətai rayonu, Babək prospekti, 10 D",08:00 - 23:00,055-515-85-53
Araz Əhmədli-3 Minimarket,40.380466,49.954262,Mini,"Xətai rayonu, Məhəmməd Hadi küçəsi 51M",24\7,055-515-85-54
Araz Çobanzadə Supermarket,40.402859,49.936935,Supermarket,"Nizami rayonu, Bəkir Çobanzadə küçəsi 216",07:00 - 23:00,055-515-85-55
Araz 9-cu mkr-1 Minimarket,40.421204,49.809101,Mini,"Binəqədi rayonu, 9 mkr, H.Seyidzadə küçəsi 38",07:00 - 23:00,055-515-85-56
Spar Axundov,40.367928,49.827564,Spar,"Səbail rayonu, B.Sərdarov küçəsi 15",24\7,055-515-85-57
Araz Qarayev-3 Supermarket,40.419670,49.931591,Supermarket,"Nizami rayonu, Tofiq Abbasov küçəsi 38, bina 7",07:00 - 23:00,055-515-85-59
Araz 8-ci km-1 Minimarket,40.405621,49.955521,Mini,"Nizami rayonu, C.Naxçıvanski küçəsi 66 A, giriş 1 və 2",07:30 - 23:00,055-515-85-62
Araz 8-ci km-2 Minimarket,40.409245,49.952496,Mini,"Nizami rayonu, E.Süleymanov 2566 blok-B, mərtəbə 1",07:30 - 02:00,055-515-85-63
Araz Hövsan-2 Minimarket,40.364113,50.073154,Mini,"Suraxanı rayonu, Hövsan Qəsəbəsi, Elman Qasıməv küçəsi 227 A",07:30 - 23:00,055-515-85-64
Araz Cəfər Xəndan Supermarket,40.415562,49.828979,Supermarket,"Binəqədi rayonu, M.Ə.Rəsulzadə qəsəbəsi, Cəfər Xəndan küçəsi",08:00 - 02:00,055-515-85-69
Araz Badamdar-1 Minimarket,40.350906,49.810612,Mini,"Səbail rayonu, Badamdar qəsəbəsi, 1 yaşayış massivi",08:00 - 02:00,055-515-85-66
Araz Şəfayət Mehdiyev Supermarket,40.393955,49.815659,Supermarket,"Yasamal rayonu, Ə.Ələkbərov küçəsi 1054 - cü məhəllə",08:00 - 23:00,055-515-85-68
Araz Şərifzadə Minimarket,40.381950,49.804306,Mini,"Bakı şəhəri, Şərfizadə küçəsi ünvanı",24\7,055-515-85-67
Araz Zirə Minimarket,40.422523,50.242409,Mini,"Bakı şəhəri, Xəzər rayonu, Zirə qəsəbəsi.",08:00-23:00,0912
Araz Müşfiqabad Supermarket,40.472260,49.613789,Mini,Bakı şəh. Müşfiqabad qəs. YYM1  22-ci Müşfik küç ev 81,08:00-23:00,0924
Araz Qarayev-4 Express,40.418156,49.933064,Express,"Nizami rayonu, Qara Qarayev prospekti 25A",07:00 - 23:00,055-515-85-72
