name,fullName,address,lat,lon
Ruzi Market,,"Bakı şəh., Nəsimi r-nu, Hüseyn Seyidzadə küç.35.",40.415581,49.8176
Bazarstore Q.Qarayev,,"Baki seh, Nizami r-nu, Tofiq Abbasov",40.418818,49.935058
Universal market,,"Baki seh, Nizami r-nu, Universal market",40.4094713,49.9559437
Expressbank Elmlər filialı 24/7,,"Bakı şəh., Yasamal r-nu, B. Vahabzadə küç",40.375344,49.812386
Neptun market Kurdexani,,"Bakı ş., Sabunçu r., Əjdər Məlikov 31",40.516768,49.938666
Rahat market,,Bakıxanov qes.,40.431553,49.954705
Bazarstore Bakixanov,,"Bakixanov qes., Genclik pr., 29",40.41777,49.96429
Bazarstore (Makromart),,"Bakixanov qes., Mehmandarov kuc.",40.424131,49.960196
Rahat market,,Balaxanidan Novxaniya geden yol,40.4675391,49.8420873
Rahat Market,,"Bileceri qes, Y.Huseynov kuc.",40.43181,49.80854
Shassi,,"Binaqadi r-nu, 8-ci MKR., C.Xandan kuc., ev 19A",40.418459,49.84444
Bazarstore (Makromart),,"Binaqadi r-nu, A.Sultanova",40.412601,49.84519
Shassi,,"Binaqadi r-nu, Bilacari STQ, R.Ismayilov (Bilacari qas.), ev 11D",40.421457,49.799264
Expressbank Naxçıvani filialı 2,,"Binaqedi r-nu, 8-ci MKR, A.Naxcivani kuc",40.34079,49.779587
Darnagul market,,"Bineqadi r-nu, 14-cu Asirim kuc., b. 43",40.417462,49.848325
Qiz Qalasi market 2,,"Bineqedi qes., 2-ci meden, korpus 64, ev 14",40.4633134,49.8296123
Araz supermarket (7 MKR),,"Bineqedi qes.,  7-ci mkr., 3123-cu meh.",40.426606,49.851359
Endi market,,"Bineqedi qes., Naxcivani kuc., 5",40.414128,49.839067
Kristal Abşeron Binəqədi,,"Bineqedi r-nu, 9 MKR, MirCalal kuc., 59",40.419709,49.810723
Bazarstore,,"Bineqedi r-nu, Acemi Naxcivani kuc., 14",40.415928,49.838921
Baki Regional Migrasiya İdaresi,,"Bineqedi r-nu, Ataturk pr. 189",40.41457,49.845211
A.Mart market,,"Bineqedi r-nu, Bileceri qes., M.Aslanov kuc., Donge 8",40.448173,49.809368
Istanbul market,,"Bineqedi r-nu, Bineqedi kendi, Gulustan kuc., Donge 15",40.458541,49.841018
Nicat market,,"Bineqedi r-nu, Bineqedi kendi, Meden 3",40.47282,49.835644
Tayqa market,,"Bineqedi r-nu, Bineqedi shossesi 308 C",40.456536,49.842752
Megastore supermarket,,"Bineqedi r-nu, I.Dadashov kuc, ev 60",40.414631,49.843514
№10 Sizin market,,"Bineqedi r-nu, M.Rasulzade STQ, Z.Farzaliyev, ev 14",40.424011,49.826293
Bineqedi Rayon Mehkemesi,,"Bineqedi r-nu, S.S.Axundov kuc.",40.426354,49.857536
DIM-Elektron İmtahan Korpusu,,"Binəqədi r-nu, S.S.Axundov kuc.,",40.425873,49.852989
Nur market,,"Bineqedi r-nu, Sulutepe qes., 34/334",40.439039,49.751511
Bakı Beynəlxalq Avtovağzal Kompleksi,,"Bineqedi r-nu, Sumqayit shossesi, 3-cu km.",40.418483,49.797907
Rahat supermarket Xocasen,,"Bineqedi r-nu, Xocasen qes.",40.414675,49.768304
Sürücü Təlim Mərkəzi,,"Bineqedi r-nu, Z.Bunyadov pr., 39 C",40.415801,49.854562
Sürücü Təlim Mərkəzi,,"Bineqedi r-nu., Z.Bunyadov pr., 39C",40.415833,49.855085
Sürücü Təlim Mərkəzi,,"Bineqedi r-nu., Z.Bunyadov pr., 39C",40.415801,49.854562
Araz supermarket,,"Bine qes., E.Isazade kuc., 5",40.45014,50.08782
Spar Axundov,,"B.Sardarov kuc.,",40.367096,49.829132
Expressbank Nesimi filiali 24/7,,"Bulbul pr., 29",40.37604,49.842824
Sahil Metro kecid,,"Bulbul pr., ile Z.Aliyeva kuc., kesishmesi",40.36524,49.819985
Araz supermarket 2 (Buzovna),,"Buzovna qes., Buzovna - Mashtaqa yolunun saq terefi",40.507277,50.106063
Favorit Market,,"Buzovna qes., R.Imanov kuc., 22A",40.52742,50.09805
Neptun Market 7,,"C.Memmedquluzade kuc., 998",40.39535,49.82805
Araz supermarket Vorovskiy,,C.Xandan kuc.,40.415451,49.828831
Tayqa market,,"Darnagul qes, ev 19",40.416033,49.849562
Bazarstore Yasamal,,"Esed Ehmedov kuc., 24B",40.3937865,49.7950441
Bazarstore 8 km,,"E.Suleymanov kuc., 122",40.40991,49.95562
Genclik M/S,,F.Xoyski kuc. (Genclik Mall cixisi),40.400492,49.851008
Bazarstore Genclik,,"F. Xoyski pr., 830",40.39977,49.85014
Araz supermarket,,"General Sixlinski küc., 2942/a",40.368153,49.964559
Rahat Market,,"Hesen Aliyev kuc., ev 48",40.39776,49.82955
Neptun 9 market,,"Hesenoglu kuc., 4, 851-852-ci meh.",40.39777,49.86903
Araz supermarket Narimanov 3,,"Hesenoglu kuc., 9",40.400012,49.865241
Nerimanov rayon DYP sobesi,,"H.Mammedov kuc., 9",40.400223,49.8378
VIP Store,,"H. Zardabi kuc., 77A",40.3926777,49.8061825
Expressbank Yasamal,,"H.Zardabi pr., 94",40.402753,49.807086
Icheri sheher M/S,,Icheri sheher M/S,40.366356,49.831555
Yasamal rayon DYP sobesi,,"Insaatcilar pr., 33",40.394287,49.813343
Grandmart,,"I.Qutqasinli kuc., 507-511",40.368497,49.820971
Rahat Market,,"Kesle qes., Faiq Yusifov kuc., ev 51A",40.4092,49.86979
Dostum market,,"K.Guneshli qes., G.Mehmandarov kuc.",40.35947,49.96661
Koroglu M/S,,Koroglu M/S,40.420101,49.918816
iL market Kurdaxani,,"Kurdaxani qe.s, M.Adil kuc., 17",40.54745,49.91118
Araz supermarket (Bine Topdan),,Lokbatan qes.,40.303116,49.760205
Bazarstore (Aqrovest),,Lokbatan qes.,40.3095192,49.7450173
Expressbank Qaradag filiali,,"Lokbatan qes., Bine Ticaret Merkezi, 1-ci sira",40.30478,49.748451
Elmar Market,,"Lokbatan qes., S.Orucov kuc., 02/392A",40.32653,49.72674
Bineqedi rayon DYP sobesi,,M.A.Rasulzade qes.,40.443813,49.844711
Abseron Market,,Mastaga qes.,40.52613,50.01716
NAR Memar Əcəmi,,"M.Cafarov kuc., 3005",40.410079,49.813595
Rahat market,,"M.Davudoglu kuc., 17",40.4225588,49.8352899
Araz supermarket (Mehemmedi ),,"Mehemmedi kendi, Mehemmedi yashayısh kompleksi",40.51153,49.94165
Rahat market,,"Mehti Hadi kuç., ev 82, bina 5",40.37075,49.950442
Araz supermarket,,"M.E. Resulzade qes., Azadliq pr., 157",40.43615,49.84476
Shassi,,"Metbuat pr., ev 187",40.370438,49.810192
Expressbank Ahmedli filiali,,M.Hadi kuc.,40.385969,49.954315
Ahmadli M/S,,M.Hadi kuc.,40.385339,49.953475
Expressbank Ahmedli filiali 24/7,,M.Hadi kuc.,40.38603,49.95476
BolMart 1 Millenium,,"Mircalal kuc., 314",40.4211268,49.8145708
Bazarstore Nesimi,,Mirqasımov kuc.,40.396811,49.84226
Rahat market,,M.Qashqay-E.Alesgerovanin kesismesi,40.39387,49.84178
Araz supermarket Yasamal,,"M.Seyidov kuc.,",40.382768,49.809157
Mehelle Market,,"Narimanov ray., Y.V.Camanzaminli kuc. 123A",40.411036,49.86708
Darya market,,"Narimanov r-nu, A.Aliyev kuc.",40.357741,49.834029
Okean market,,"Narimanov r-nu, A.Aliyev kuc., 61",40.404271,49.841603
Kosmos market,,"Narimanov r-nu., A.Aliyev kuc. 8",40.400185,49.88242
Bazarstore Montin,,"Narimanov r-nu, Aga Nemetulla kuc., 26",40.397385,49.877903
Buta market,,"Narimanov r-nu, Aga Neymatulla kuc., 252",40.408756,49.867332
Rahat market,,"Narimanov r-nu, Ak. Hesen Aliyev kuc  55",40.400439,49.841126
Market,,"Narimanov r-nu, Ak. Hesen Aliyev kuc., ev 59",40.400332,49.848903
INTEGRAL beyond compare,,"Narimanov r-nu, A.Racabli kuc., 2 bina 8",40.40855,49.862236
Cinar Park Biznes Merkezi,,"Narimanov r-nu, A.Recebli kuc., 1965",40.415604,49.857361
Rahat market,,"Narimanov r-nu, E.Aliyev kuc., 19 A",40.406296,49.87328
Montin market,,"Narimanov r-nu, Ismayil Hidayatzade kuc., 28/29",40.395187,49.871052
STEP IT Academy2,,"Narimanov r-nu, K.Rahimov kuc., 70",40.414814,49.853134
V - Design,,"Narimanov r-nu., Montin qes., A. Neymetulla kuc., 2",40.39327,49.882457
Azərbaycan Kooperasiya Universiteti,,"Narimanov r-nu, Nacaf Narimanov kuc., 93",40.409968,49.837631
Deniz market,,"Narimanov r-nu, Nazim Haciyev kuc.,",40.40313,49.875507
Bakcell Nərimanov,,"Narimanov r-nu, Tabriz kuc., 108 m 5",40.404133,49.873417
BolMart,,"Narimanov r-nu, Ulvi Bunyadzade kuc., 2",40.385433,49.851236
Nas Project BOKT,,"Narimanov r-nu, Xatai pr., 47E, Armoni Residence, 2 mert",40.388191,49.857683
East Park yaşayış kompleksi,,"Narimanov r-nu, Xatai pr., 49",40.390104,49.858871
DIN Hospitali,,"Narimanov r-nu, Z.Bunyadov pr. 36",40.413734,49.850521
KOBİA,,"Narimanov r-nu, Ziya Bunyadov pr., 38 C, 1969-cu meh.",40.413319,49.853509
Spar Market (3-cu mkr),,"Nasimi r-nu, 3-cu mkr.",40.406746,49.812824
Bakı Sağlamlıq Mərkəzi /2-ci mərtəbə/,,"Nasimi r-nu, Azadliq pr. 112",40.396811,49.839356
VTB Bank Əcəmi filialı,,"Nasimi r-nu, Cavadxan kucş, 30 A",40.409716,49.814923
Rahat market,,"Nasimi r-nu., Ceyhun Salimov kuc., 7",40.401157,49.822037
Rahat supermarket Papanin,,"Nasimi r-nu, Ceyhun Səlimov küç., 7",40.401132,49.822172
Bakı Dəmiryol Vağzalı,,"Nasimi r-nu, F.Amirov kuc., 24",40.380236,49.849743
Eser market,,"Nasimi r-nu, Huseynbala Aliyev kuc., 18",40.409855,49.818845
Spar market,,"Nasimi r-nu, Mirqasimov kuc.",40.395985,49.843381
AvroMart,,"Nasimi r-nu., Samil Azizbayov kuc., 88, meh. 302",40.378494,49.834133
Finex Kredit,,"Nasimi r-nu, Suleyman Rustam kuc., 11",40.381034,49.844456
Rahat Nesimi 1,,"Nasimi r-nu, Suleyman Rustam kuc., 980",40.39284,49.838812
Bazarstore,,"Nasimi r-nu., Xan Sushinski kuc., 60",40.396076,49.836998
BolMart 2 (Tusi),,"Nasreddin Tusi kuc., 11",40.37321,49.96185
Bazarstore Park Bulvar,,"Neftchiler pr., 1",40.37113,49.84986
Port Bazar Market,,"Neftchiler pr., 153",40.381107,49.863304
Kukla teatri Kecid,,Neftciler pr.,40.367108,49.838866
Sabail rayon DYP sobesi,,"Neftciler pr., 35",40.33836,49.830482
Pasa Sigorta,,"Neftciler pr., 66",40.357663,49.833827
Rahat market,,"Nesimi r-nu., Akademik H.Aliyev kuc., 1061",40.3957327,49.819664
MediClub hospital,,"Nesimi r-nu., Alovset Quliyev kuc., 73",40.373406,49.834692
"Bas pasport, qeydiyyat ve miqrasiya idaresi",,"Nesimi r-nu, Mikayıl Rafili kuc. 3",40.382415,49.843723
Kaspi Liseyi Ag sheher,,"Nəsimi r-nu, Neftçilər pr., ev 151",40.383412,49.879011
BolMart,,"Nesimi r-nu, S.Azizbeyov kuc, ev 9",40.381,49.845041
STEP IT Academy Tbilisi,,"Nesimi r-nu, Tbilisi pr., Ev 1025/30-cu meh",40.390023,49.830158
