lat,lon,type,company,name
39.4478445,47.3404235,competitor,abb,Horadiz market
39.5594237,47.566481,competitor,abb,"Füzuli, Əhmədbəyli kəndi"
40.576428,45.808638,competitor,abb,ABB-nin Gədəbəy filialı
40.57215910675314,45.80605010948782,competitor,abb,Dadaş market (Gədəbəy)
40.66194607921284,45.47864818127052,competitor,abb,Şınıx kəndi
40.502506644668244,45.75588957205038,competitor,abb,Market (Gədəbəy)
40.659640423995974,45.80808174961761,competitor,abb,Slavyanka
40.59737322448654,45.602710735222225,competitor,abb,Novo-Saratovka kəndi
40.576428,45.808638,competitor,abb,ABB-nin Gədəbəy filialı
40.58222707606838,45.80520595114627,competitor,abb,Gədəbəy Qızıl mədəni
40.6788172747948,46.41097516187645,competitor,abb,FHN Mülki Müdafiə Briqadası
40.71083725084026,46.376986340737,competitor,abb,Nicat market (Z. Hacıyev küç. ilə kəsişməsi)
40.67081847684641,46.37643392091075,competitor,abb,Maxi Market - 1
40.639995,46.339050,competitor,abb,Sevimli market - Gülüstan
40.688130530087555,46.35228814930942,competitor,abb,Metro market
40.68702083480114,46.375527204174574,competitor,abb,Həsən market
40.696967,46.374950,competitor,abb,Gəncə Güllər market
40.705671,46.366488,competitor,abb,Maxi Market - 2
40.697332,46.357009,competitor,abb,Meqa market (Gəncə)
40.68176422482345,46.36232296818081,competitor,abb,Bazarstore market (Xoyski küç.)
40.70985144740438,46.36712269558923,competitor,abb,Orxan market
40.660912,46.340420,competitor,abb,Oba market (İ. Qayıbov)
40.64765391103091,46.3739075561145,competitor,abb,Malikoğlu market
40.644512958500634,46.344169901569735,competitor,abb,OBA market (Gülüstan qəsəbəsi)
40.715510354612526,46.36919808454821,competitor,abb,Oba market (Azərbaycan küçəsi)
40.674912962811256,46.34291614263309,competitor,abb,AL market (Gəncə)
40.591753,46.320091,competitor,abb,Gold Əminə (Göyçay)
40.720589,46.399607,competitor,abb,Poçt 21 (Gəncə )
40.682654152203234,46.355966852856284,competitor,abb,Oba market (Qəmbər H. küç.)
40.673112276851136,46.356629109734776,competitor,abb,Oba market (Abbaszadə küç.)
40.69490799903645,46.36624591570782,competitor,abb,Avtovağzal (Gəncə)
40.66610706742961,46.361184430837284,competitor,abb,Oba market (Nərimanov küç.)
40.686575507383694,46.386988604846174,competitor,abb,Gəncə Alüminiumçular
40.680183,46.358832,competitor,abb,Yeni Gəncə market
40.65614147037462,46.367216857759935,competitor,abb,Aptek (Aşıq Ələsgər küç.)
40.514488220214844,46.32265090942383,competitor,abb,Poçt (Hacıkənd)
40.66232020663183,46.316486471004325,competitor,abb,Oba market (Təbriz küç.)
40.674658,46.334370,competitor,abb,GƏNCƏ MEHMANDAROV ARAZ M
40.69802214603583,46.35498769205732,competitor,abb,Oba market (Kəpəz)
40.667885589623694,46.35421889072551,competitor,abb,ABB-nin Gəncə filialı
40.679356,46.350109,competitor,abb,Delfin market (Gəncə)
40.71877375410452,46.35380144423876,competitor,abb,FAMA market (Gəncə)
40.680022638664894,46.386754210882145,competitor,abb,Oba market (Nərimanov küç.)
40.67983472562637,46.3608138940871,competitor,abb,"""Gəncə"" mehmanxanası"
40.66543078042121,46.45306484976036,competitor,abb,Məcburi köçkünlər qəsəbəsi (Kəpəz)
40.7086722,46.3559315,competitor,abb,Nur market (Gəncə)
40.674790,46.369978,competitor,abb,Bazarstore market (Nərimanov)
40.68655176009785,46.42680254923436,competitor,abb,"""Detal Alüminiy"" zavodu"
40.6024404,46.7798901,competitor,abb,Mega market (Goranboy)
40.4210013,46.5704388,competitor,abb,Ağcakənd kəndi (Mağaza)
40.6350061,47.7579344,competitor,abb,XL market (Göyçay)
40.5806563,47.8065966,competitor,abb,Ləkçıplaq kəndi (Göyçay)
40.649875804889035,47.725107250830376,competitor,abb,Bolluq Kəndimiz (Göyçay)
40.568960,47.766780,competitor,abb,Qızılağac market (Göyçay)
40.6578618,47.7514585,competitor,abb,Xəstəxana (Göyçay)
40.586315,47.6930619,competitor,abb,Dəniz market (Göyçay)
40.650092,47.739047,competitor,abb,Nar market (Göyçay)
40.6387758,47.7388978,competitor,abb,Grand market (Göyçay)
40.615055084228516,48.01321792602539,competitor,abb,Poçt (Qaraməryəm)
40.580935,46.323174,competitor,abb,Balmart market (Göygöl)
40.58438055454058,46.32713979777223,competitor,abb,Gold Əminə market (Göygöl)
40.70163449171468,46.28085693051547,competitor,abb,Balçılı kəndi (Göygöl)
40.019351,48.953950,competitor,abb,“Qədirxum” restoranı (Hacıqabul)
40.0446401,48.9350715,competitor,abb,Oba market (Hacıqabul)
Səyyar,Səyyar,competitor,abb,Səyyar ATM - Hadrut
39.8697496,48.0591736,competitor,abb,ABB-nin İmişli filialı
39.8697496,48.0591736,competitor,abb,ABB-nin İmişli filialı
39.7431265,48.0017707,competitor,abb,Yaşıl market
39.705208,48.055671,competitor,abb,Sərfəli market
39.860772,48.062889,competitor,abb,İmişli - Ailəm market
40.744335,48.035809  ,competitor,abb,Bizim market (İvanovka k.)
40.785185755946756,48.148832691677796,competitor,abb,ABB-nin İsmayıllı filialı - 1
40.79271532791891,48.169611422364035,competitor,abb,İsmayıllı market
40.780207899689216,48.158922848125826,competitor,abb,İsmayıllı xəstəxana
40.732443,48.281610,competitor,abb,Sərhəd market (Lahıc)
40.78837644822651,48.14818636103082,competitor,abb,Mustafa market
40.11231758599875,46.04005736537025,competitor,abb,Kəlbəcər
39.41259555672917,45.1211206190765,competitor,abb,Qaz idarəsi
40.32826396707835,48.14812618465529,competitor,abb,Efi market
40.34572111057594,48.14701402079077,competitor,abb,Poçt (Kürdəmir)
40.351643,48.162422,competitor,abb,Bolmart (Kürdəmir)
40.345717,48.147349,competitor,abb,ABB-nin Kürdəmir filialı
40.380251,48.184177,competitor,abb,Kürdəmir Arif market
40.336139,48.151694,competitor,abb,Oba market (Kürdəmir)
40.115967,48.099909,competitor,abb,Oba market (Mollakənd)
40.303571,48.261652,competitor,abb,Karrar kəndi
40.256074,48.409077,competitor,abb,EDU market (Kürdəmir)
38.7713032637467,48.420164802598414,competitor,abb,Oba market (Lerik)
38.765647163778816,48.85237758792672,competitor,abb,Lənkəran şəhər Maliyyə İdarəsi
38.85652510403561,48.7482181314667,competitor,abb,Şağlaser kəndi (Ay işığı)
38.69654083251953,48.81938171386719,competitor,abb,Favorit market (Lənkəran)
38.75389236817951,48.85536031218073,competitor,abb,ABB-nin Lənkəran filialı - 1
38.759006,48.834747,competitor,abb,Bazarstore (Nizami küçəsi)
