"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","city","verified","photos","state","description"
"0x4030628c1756b53b:0x154f5b1e67a7da69","","Koroghlu","Koroghlu, Heydar Aliyev Ave, Baku 1029, Azerbaijan","40.420657","49.918042799999995","56","4.3","Asia/Baku","","ChIJO7VWF4xiMEARadqnZx5bTxU","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4030628c1756b53b:0x154f5b1e67a7da69","Subway station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipPk1McrrjcFcvPBpOWjDJ_q51nJPV6cuqczBxZv=w203-h106-k-no","",""
"0x40306369cfe34af9:0x3e7fea2b8164aff1","","Akhmedli","Akhmedli, Mahammad Hadi, Qarauxur, Azerbaijan","40.3852463","49.9538897","71","4.4","Asia/Baku","","ChIJ-Urjz2ljMEAR8a9kgSvqfz4","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40306369cfe34af9:0x3e7fea2b8164aff1","Subway station","","","","","","","","","Qarauxur, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipNtSfFwTFiAUhYR3P6r7e6QWxzzPHDDKSNF-BCT=w203-h106-k-no","",""
"0x40307da78c52e25d:0x77d586d3d6e0cab7","","Jafar Jabbarli","Jafar Jabbarli, Baku, Azerbaijan","40.379554","49.8491991","22","4.1","Asia/Baku","","ChIJXeJSjKd9MEARt8rg1tOG1Xc","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307da78c52e25d:0x77d586d3d6e0cab7","Subway station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipPzD2hKZh3mle7MqHrk3u7NR8cL7FpdxGVW06oA=w203-h135-k-no","",""
"0x403062bb50fae293:0x2055af934a567416","","Ulduz","Ulduz, Baku, Azerbaijan","40.4148553","49.891437599999996","31","4.2","Asia/Baku","","ChIJk-L6ULtiMEARFnRWSpOvVSA","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x403062bb50fae293:0x2055af934a567416","Subway station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipOS_T4z97lyazHVvheoyzSboM3hgcKfg8F91kZm=w203-h135-k-no","",""
"0x40308300264ea4bb:0x139b934e8ea8cd83","","Metro stansiyas Mvqbad","FJ6G+PM Metro stansiyas Mvqbad, Mvqbad, Azerbaijan","40.4618044","49.6267354","","","Asia/Baku","","ChIJu6ROJgCDMEARg82ojk6TmxM","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40308300264ea4bb:0x139b934e8ea8cd83","Metropolitan train company","","","","","","","","","Mushvugabad, Azerbaijan","false","","",""
"0x40307d19577c8af5:0x734dcd6876d09cb","","Khatai","Khatai, Baku, Azerbaijan","40.383086","49.871953999999995","64","4.3","Asia/Baku","","ChIJ9Yp8Vxl9MEARywlth9bcNAc","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307d19577c8af5:0x734dcd6876d09cb","Subway station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipOzFtxO4oAf6Ig4XpM9X2MCAEUv_zZexqC-o4k3=w203-h135-k-no","",""
"0x40308775e2c23e45:0xe69278e1c111464a","","20 Yanvar metro stansiyas (ADHT)","20 Yanvar metro stansiyas (ADHT), Bak, Azerbaijan","40.404368999999996","49.805806","","","Asia/Baku","","ChIJRT7C4nWHMEARSkYRweF4kuY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40308775e2c23e45:0xe69278e1c111464a","Bus stop","","","","","","","","","Baku, Azerbaijan","true","","",""
"0x403087846426ac0f:0x838858a622199e8e","","Nsimi metro stansiyas","CRFF+RMP Nsimi metro stansiyas, Svetlana Mammadova, Baku, Azerbaijan","40.424495199999996","49.8240602","81","4.7","Asia/Baku","","ChIJD6wmZISHMEARjp4ZIqZYiIM","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x403087846426ac0f:0x838858a622199e8e","Transportation service","","","","","","","","","Baku, Azerbaijan","false","https://lh5.googleusercontent.com/p/AF1QipP7IzLTWzLJagP5a6J8LqgqruqnpgKYSKOvFqkF=w203-h152-k-no","",""
"0x403087ae6c4305c5:0x9735d8619db5697e","","Avtovazal metro stansiyas","Avtovazal metro stansiyas, Bak, Azerbaijan","40.419557","49.797193","1","5","Asia/Baku","","ChIJxQVDbK6HMEARfmm1nWHYNZc","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x403087ae6c4305c5:0x9735d8619db5697e","Bus stop","","","","","","","","","Baku, Azerbaijan","true","","",""
"0x4030880e562887ef:0xff69cbaac6d22cc9","","Darnagul","Darnagul, Baku, Azerbaijan","40.4253602","49.861895499999996","38","4.4","Asia/Baku","","ChIJ74coVg6IMEARySzSxqrLaf8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4030880e562887ef:0xff69cbaac6d22cc9","Subway station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipMffOnoU5_cMZ9ulqMX_eWixal22osXvQV7eAHl=w203-h134-k-no","",""
