Name,Address,Latitude,Longitude
OBA Market-KGUNESLI 13,"Günəşli, Bakı, Azərbaycan",40.382818097545,49.966329
OBA Market-KOHNE GUNESLI 5,"Yeni Günəşli, Bakı, Azərbaycan",40.380780097545,49.980611
OBA Market-XACMAZ 4,"44b Məhəmməd Hadi, Bakı, Azərbaycan",40.392513097545,49.95346
OBA Market-SUMQAYIT 24,"Suraxanı, Bakixanov, Azərbaycan",40.412007097545,50.002058
OBA Market-BAKIXANOV,"Sulh Street, Bakixanov, Azərbaycan",40.420740097545,49.96663
OBA Market-KESHLE 5,"Günəşli, Bakı, Azərbaycan",40.381783097545,49.968516
OBA Market-EHMEDLI 10,"Xətai, Bakı, Azərbaycan",40.387526097545,49.957046
OBA Market-NEFTCALA 1,"8-ci kilometer, Azərbaycan",40.410016097545,49.952282
OBA Market-BAKIXANOV 7,"Bakıxanov, Azərbaycan",40.417735097545,49.959354
OBA Market-XIRDALAN 13,"Yeni Günəşli, Bakı, Azərbaycan",40.380214097545,49.983608
OBA Market-XACMAZ 6,"Nizami rayonu, Qaraçuxur, Azərbaycan",40.395792097545,49.950407
OBA Market-EMIRCAN,"Suraxanı, Azərbaycan",40.419321097545,49.995562
OBA Market-XACMAZ 9,"Qara Qaraev, Bakı, Azərbaycan",40.394156097545,49.950357
OBA Market-EHMEDLI 7,"Əhmədli, Qaraçuxur, Azərbaycan",40.385119097545,49.956432
OBA Market-ULD_SURAXANI,"8-ci kilometer, Qaraçuxur, Azərbaycan",40.397149097545,49.947347
OBA Market-EHMEDLI,"10 Neapol küçəsi, Bakı, Azərbaycan",40.381531097545,49.959785
OBA Market-SUMQAYIT 20,"Suraxanı, Bakixanov, Azərbaycan",40.418915097545,50.001394
OBA Market-XIRDALAN 14,"9XGH+H7 Bakı, Azərbaycan",40.376449097545,49.978226
OBA Market-KOHNE GUNESHLI 14,"Günəşli, Bakı, Azərbaycan",40.377718097545,49.967266
OBA Market-BAKIXANOV 17,"8-12 Ali Karim, Azərbaycan",40.421192097545,49.957055
OBA Market-TURKAN 1,"Malik Mustafayev, Bakixanov, Azərbaycan",40.421691097545,49.999819
